dmel	dsim
PGRP-LC	GD14166
PGRP-LF	GD14168
UGP	GD12937
mRRF1	GD29620
CG4452	GD14172
CG4080	GD12929
Cpr67B	GD14178
CG4022	GD12927
CG3689	GD14179
CG3982	GD27102
CG3967	GD12926
Nf-YA	GD29436
CG3529	GD14183
CG3448	GD12922
phol	GD12921
CG3437	GD12920
CG3552	GD14185
CG3434	GD29094
Jarid2	GD14188
pall	GD12918
path	GD12915
CG3408	GD12914
Ir67a	GD12908
CG3222	GD14193
CG3088	GD12907
CG3306	GD14195
CG3335	GD14198
Or67b	GD12906
CG8336	GD14199
CG16717	GD14203
CG16719	GD14206
CG6767	GD12902
CG6761	GD12901
CG16711	GD14208
CG18178	GD12899
CG14174	GD14211
defl	GD14212
Naa60	GD14213
CG6749	GD12897
CG8177	GD17941
Zasp67	GD12893
Ilp2	GD14218
CG10809	GD12886
iPLA2-VIA	GD12885
CG6709	GD12882
CG14164	GD29460
CG6707	GD12881
nudE	GD14225
CG6685	GD12880
CG6674	GD12879
CG14160	GD12876
CG8072	GD14233
CG6628	GD12870
CG8065	GD14234
Or67c	GD12865
Or67d	GD14235
CG12362	GD14237
Ir67b	GD26851
CG6527	GD29447
CG14151	GD12858
CG8009	GD27890
CG18628	GD14251
CG14154	GD14252
CG14153	GD14253
CG8003	GD14254
CG11811	GD14257
NijA	GD12851
CG6418	GD17585
Blos4	GD17633
CG6409	GD28366
galla-2	GD14263
Cpr67Fb	GD27852
Aps	GD17584
CG14147	GD14270
CG7888	GD14275
CG6321	GD12835
Blos2	GD14276
CG6310	GD12832
CG7839	GD14282
Iyd	GD12829
Irbp18	GD12828
CG7638	GD14285
FoxK	GD12820
mRpL2	GD14286
Ufd1-like	GD12819
CG6216	GD12817
wls	GD12816
CG7616	GD14292
CG14142	GD14293
GlcAT-P	GD12815
CG7607	GD14294
CG14141	GD14295
Plod	GD12814
Ir68a	GD12812
CG6175	GD17583
CG7573	GD14300
CG6168	GD12810
CG6163	GD12809
CG11726	GD14302
CG7560	GD14304
CG6149	GD12806
CG7557	GD14305
CG12289	GD12805
CG7551	GD14306
CG6140	GD12804
chrb	GD14310
CG7512	GD17635
CG11714	GD12802
CG7394	GD14312
CG14137	GD12792
CG7368	GD14315
Duba	GD12791
Muc68Ca	GD12790
CG6083	GD12788
PCID2	GD14316
CG6071	GD17580
RIOK1	GD12787
CG7339	GD14319
Sugb	GD14321
Pldn	GD12785
CG14135	GD14322
CG11652	GD12784
Dnai2	GD12783
CG11658	GD12782
crim	GD12781
Bmcp	GD14324
CG6024	GD12779
Muc68D	GD12778
CG14131	GD14328
CG5964	GD12775
CG10907	GD14329
CG10361	GD29449
CG14130	GD14332
CG5946	GD12773
CG11597	GD27970
RpL10Ab	GD14333
CG7264	GD14334
CG5906	GD17579
Sprn	GD14336
CCDC151	GD14337
CG5897	GD12764
CG11588	GD14338
SdhAL	GD12763
Rpt4R	GD14340
CG5883	GD12761
CG7252	GD14341
CG17826	GD14343
obst-G	GD12760
CG7248	GD14344
CG11570	GD12759
CG14125	GD14346
CG6938	GD14349
CG6931	GD14350
viaf	GD12756
Pop2	GD12753
CG6928	GD14351
CG6793	GD14352
CG17154	GD14354
ssp	GD28166
CG11560	GD14356
Ir68b	GD12748
CG5645	GD12747
Atg12	GD14360
RhoGAP68F	GD14361
eIF3l	GD12745
CG9760	GD12744
Rh7	GD12743
CG6910	GD14365
thoc6	GD12742
CG11529	GD14368
CG5626	GD12738
Pbgs	GD12734
CG4300	GD12732
INPP5E	GD29624
CG4328	GD12730
CG10418	GD14374
CrzR	GD12727
Ncc69	GD12726
Smyd4-2	GD12724
toe	GD12721
CG10616	GD14379
CG10663	GD12718
CG10660	GD12716
CG10657	GD12715
CG10638	GD12714
CG10681	GD14381
CG10646	GD17577
CG10654	GD12712
nst	GD12708
Tsf2	GD12707
Pmm2	GD14386
CG4069	GD12706
sowah	GD12705
CG10984	GD14401
CG10973	GD12702
Hip1	GD12701
CG10969	GD12698
CG17666	GD14403
Sf3a2	GD12694
CG10960	GD12693
CG10948	GD12692
Wbp2	GD14410
Ent3	GD14411
CG10943	GD17922
CG14120	GD14412
CG14118	GD14414
CG12520	GD12690
CG10752	GD12686
CG10748	GD12684
CG10749	GD14416
CG11262	GD14418
CG11263	GD14419
CG14117	GD14420
CG11261	GD12683
MICAL-like	GD12682
CG11267	GD14421
mRpL20	GD12681
ste14	GD14422
AdenoK	GD12680
SRm160	GD14425
Syx13	GD14427
CG14115	GD12676
CG17300	GD12675
CG11251	GD10083
CG17687	GD14442
SNCF	GD14444
CG14111	GD14445
CG14107	GD12670
CG14110	GD14447
CG10171	GD28668
Poc1	GD12669
CG10222	GD12666
CG14105	GD12662
CG10713	GD12660
CG10154	GD12659
CG10725	GD14449
CG10140	GD12658
CG14109	GD14450
cmb	GD14451
CG10133	GD12657
CG10116	GD12656
CG10738	GD14452
CG10089	GD12655
Abp1	GD12654
Tgi	GD14454
Spt20	GD14455
Liprin-beta	GD14457
CG10710	GD12652
CG8757	GD17575
CG8745	GD12648
CG13737	GD14460
CG8833	GD12644
ssp2	GD14465
CG13738	GD12642
CG17364	GD12641
CG17361	GD14470
CG17359	GD12639
Nprl3	GD12638
upSET	GD14471
CG6650	GD14473
CG6661	GD14474
CG6833	GD14476
CG13484	GD12632
CG8100	GD14482
Sox21a	GD12630
nan	GD12626
CG7768	GD29446
CG7924	GD14487
CG7906	GD14488
CG3868	GD12622
CG3919	GD27289
CG9592	GD17947
CG4613	GD12618
Gbs-70E	GD12617
CG9628	GD14494
CG4914	GD12611
CG5048	GD14497
goddard	GD14498
CG13474	GD12610
CG13476	GD14499
CG13473	GD14500
CG13471	GD12607
CG9384	GD14502
CG17173	GD12602
mop	GD12600
bmm	GD12598
Tdrd3	GD14503
CG9425	GD14504
CG17839	GD14505
CG3349	GD14514
CG5114	GD14515
Zip71B	GD14517
mRpL39	GD12590
Reck	GD12589
Rpn12R	GD12587
CG18581	GD12584
EAChm	GD14520
CG13460	GD12580
Or71a	GD27004
sstn	GD12578
CG13458	GD14524
Cep135	GD14526
CG16959	GD12576
CG13457	GD12575
CG12316	GD12573
Pex3	GD14527
FucTA	GD14528
Msh6	GD12570
Prp31	GD14529
CG6878	GD14530
CG7011	GD12569
CG6888	GD14531
Best4	GD14535
Best3	GD12566
CG7255	GD14536
Toll-6	GD14538
CG33259	GD14540
CG7804	GD12565
Ran-like	GD12564
CG13455	GD14542
CG7276	GD26911
CG7275	GD14543
CG7272	GD14544
CG7841	GD12561
CG13454	GD12560
yellow-k	GD14550
CG7945	GD12558
CG7739	GD12554
SCCRO	GD14554
CG16979	GD14556
CG12301	GD14557
AIMP2	GD14558
CG7656	GD12552
RhoGAP71E	GD14559
CG7650	GD12551
CG13449	GD12550
CG7372	GD14561
CG7304	GD14568
CG7579	GD12542
pgant8	GD14569
CG6244	GD14572
CG13445	GD14573
DCP2	GD12535
CG12713	GD14576
sff	GD12530
GXIVsPLA2	GD14577
CG17032	GD14580
CG10516	GD17641
CG17026	GD14582
CG17029	GD14583
CG17028	GD14584
CG17027	GD14585
CG5830	GD12523
mRpS31	GD14588
CG5895	GD14591
CG5235	GD12516
ClC-c	GD14595
CG13074	GD17567
ATPsynbetaL	GD27295
IleRS-m	GD14596
IntS9	GD12515
Strumpellin	GD29537
elg1	GD14600
CG5157	GD12511
CG5151	GD12510
CG13073	GD27647
CG5027	GD14605
PDCD-5	GD12504
MED10	GD14606
CG13055	GD12503
CG13054	GD12502
CG13071	GD14611
CG13070	GD27284
CG4950	GD12499
CG13065	GD14615
CG13048	GD27526
CG13047	GD12495
CG13046	GD12494
CG13045	GD12492
CG4962	GD12491
CG4982	GD14617
CG13042	GD12488
CG13059	GD14623
CG13039	GD12484
CG13058	GD14624
CG4998	GD14629
Golgin104	GD12482
Cpr72Ea	GD14633
Cpr72Eb	GD14634
Cpr72Ec	GD12478
roq	GD12476
CG4753	GD12475
CG4729	GD12474
RAF2	GD14638
Gagr	GD14639
GluRS-m	GD12470
CG13033	GD12463
CG4229	GD14643
nxf2	GD12461
Smn	GD12460
Syx8	GD12459
CG4098	GD12456
CG13032	GD14653
CG9692	GD14654
CG13031	GD14658
CG9701	GD14660
CG13025	GD12443
CG9705	GD14664
CG9706	GD14665
CG9674	GD12441
CG13024	GD12440
TSG101	GD14667
CG9669	GD12439
Zcchc7	GD14668
CG13029	GD14673
CG9951	GD14674
CG13028	GD14679
CG13023	GD12437
CG11905	GD12436
CG13022	GD12435
Cpr73D	GD28626
Obp73a	Obp73a
CG3764	GD12434
CG6664	GD12432
CG7728	GD14685
Fit2	GD14686
CG7730	GD14687
Ilp8	GD12429
beg	GD14688
Papst2	GD14690
CG14057	GD12427
rogdi	GD14692
CG7724	GD14693
CG6512	GD12422
CG6497	GD12421
ND-24L	GD12420
CG13724	GD14699
CG13725	GD12419
Or74a	GD12418
CG6479	GD12417
CG13727	GD12416
brv2	GD12415
Mip	GD12414
Cad74A	GD12413
CG13728	GD12412
CG12229	GD12403
CG18265	GD17645
QIL1	GD14707
CG7589	GD14708
UQCR-Q	GD14709
CG13733	GD12402
CG6333	GD12401
Oatp74D	GD14713
U4-U6-60K	GD12400
CG7564	GD14714
Edc3	GD12399
CG7542	GD14718
Vps60	GD12393
CG7510	GD14719
CG7497	GD14720
CG7484	GD17646
Crtc	GD12387
CG6052	GD12385
CG7460	GD27560
CG6034	GD12383
Adgf-B	GD12382
Adgf-A	GD12381
CG5589	GD12376
Cln3	GD29141
Ir75a	GD12372
CG5577	GD12369
CG5567	GD12368
MED19	GD12367
CG7430	GD14729
TrpRS-m	GD14730
CG5535	GD12366
CG7408	GD14733
CG5506	GD12365
CG7402	GD14734
Tsp74F	GD12362
Prestin	GD12361
CG14353	GD14735
CG5290	GD12360
CG13698	GD12353
mRpS26	GD28342
CG5147	GD17563
CG7341	GD14746
Cyp312a1	GD12352
CG7330	GD14748
CG13699	GD12351
CG7320	GD28758
CheA75a	GD28624
CG5103	GD12349
CG13700	GD12348
skl	GD26932
AstC-R2	GD12341
AstC-R1	GD14751
CG4174	GD12338
CG18233	GD14755
CG18231	GD14756
CG13380	GD12337
MYPT-75D	GD14760
Sgf11	GD12333
Chmp1	GD12332
Cyp12c1	GD12331
CG6893	GD14765
Dic4	GD12330
CG12477	GD12329
CG6885	GD14766
MED11	GD14767
Nufip	GD12328
Atg3	GD14768
CG14073	GD12326
HipHop	GD14769
Indy	GD12325
CG6865	GD14772
CG14074	GD14773
Dysb	GD14774
Grx1	GD14776
CG3961	GD12324
NijB	GD14779
CG3902	GD12323
RpL26	GD14780
arx	GD12322
CG6843	GD14781
CG6841	GD14782
Ir75d	GD12319
CG14077	CoVIa
CG6839	GD14783
CG18223	GD12317
CG3819	GD12316
CG6836	GD14784
CG14075	GD14785
CG11619	GD17913
CG18135	GD12312
CG3808	GD12311
SmydA-2	GD12310
CG3797	GD12307
Sfxn2	GD14786
Mkp3	GD12305
MESR6	GD14787
CNPYb	GD12304
CG10424	GD12303
CG14079	GD14788
Gem2	GD12302
CG14082	GD17562
mRpL21	GD12295
CG9666	GD14794
CG9629	GD12292
CG14088	GD12291
CG14085	GD14795
CG14086	GD14797
CG14089	GD12290
Gbs-76A	GD12288
ms(3)76Ba	GD14800
brv1	GD12280
CG9449	GD12278
CG9451	GD12277
CG9452	GD12276
Cpr76Ba	GD12275
Cpr76Bb	GD14807
Cpr76Bc	GD14808
Cpr76Bd	GD14810
CG9279	GD12274
CG9300	GD14812
CG9231	GD12270
CG9330	GD14814
CG14100	GD12269
CG9368	GD14816
CG9372	GD14817
Lon	GD12266
PIG-F	GD14818
ms(3)76Cc	GD14820
wnd	GD12264
CG8786	GD12263
tey	GD12258
CG8765	GD12257
CG14102	GD12252
TORIP	GD12251
CG15881	GD14828
Cyp305a1	GD12248
Fibp	GD12246
Usp32	GD14834
Prp3	GD14836
Mtr3	GD12240
Pfdn6	GD14838
Grasp65	GD14839
CG8004	GD12238
RhoGDI	GD14840
CG14182	GD12237
CG17732	GD14844
hale	GD12236
schuy	GD14845
CG7646	GD14846
Gabat	GD12233
Tom20	GD14848
CG7668	GD14849
CG14183	GD12231
CG14184	GD12229
sNPF-R	GD12228
CG14186	GD12225
CG14185	GD14853
Ir76b	GD12224
CG14187	GD12223
CG7365	GD12222
obst-J	GD12221
CG7335	GD12219
CG7328	GD12218
Ssk	GD14857
obst-F	GD12214
CG7298	GD12213
CG7290	GD12212
CG6996	GD14858
CG7017	GD12210
CG6933	GD12208
CG17145	GD14859
CG13813	GD14862
CG17233	GD12206
CG6951	GD14864
CG17122	GD27326
FRG1	GD12203
SCCRO4	GD14870
Rbbp5	GD12200
eRF1	GD14876
CG5618	GD14877
CG5665	GD14879
Toll-9	GD12198
CG13247	GD14881
RhoBTB	GD14882
CG13248	GD12193
zye	GD14884
CG5282	GD12190
CG5274	GD12189
CG5262	GD12188
mRpL15	GD12186
CG5872	GD14886
CG11796	GD12185
CG5910	GD14887
CG5199	GD12184
atk	GD12183
mag	GD14888
CG5955	GD14889
CG5969	GD14890
isoQC	GD14891
ZnT77C	GD12181
ND-39	GD14892
CG5078	GD14896
CG5059	GD12180
mTerf3	GD12179
CG5104	GD14898
CG4825	GD12178
CG4858	GD14899
Rcd2	GD12177
CG13250	GD14900
CG13251	GD14902
cmpy	GD12171
CG13252	GD14904
CG4074	GD12166
CG4042	GD12165
Pex16	GD12164
Pex14	GD14907
CG11399	GD12163
CG11396	GD12162
CG3698	GD12160
tzn	GD14908
Spc105R	GD14909
CG3634	GD12159
HIPP1	GD14911
CG3618	GD12158
CG3288	GD14915
CG11456	GD14917
CG10589	GD14921
CG10588	GD17647
CG12983	GD12152
CG12984	GD14925
CG10585	GD14926
CG10584	GD12146
CG10581	GD12145
ICA69	GD14935
CG10565	GD12143
CG10512	GD17648
CG10510	GD12135
CG10508	GD14941
CG12975	GD12134
CG9391	GD12132
CG9389	GD12131
CG12974	GD12128
Cpr78Ca	GD12127
Cpr78Cb	GD14947
Cpr78Cc	GD14949
CG11309	GD12125
CG7632	GD14950
Tsr1	GD14952
CG7324	GD12123
ebd2	GD12122
CG12971	GD12121
barc	GD12119
CG5664	GD26803
Syx6	GD10772
Neu2	GD12116
CG7202	GD12115
CG7519	GD14964
Est-Q	GD14965
M6	GD14966
Cdk12	GD14967
CG7611	GD14968
Wnk	GD12108
CG7173	GD12107
CapaR	GD12106
CG7634	GD14973
CRIF	GD12105
S1P	GD12102
CG11307	GD14978
CG7166	GD12101
CG11306	GD14979
MED1	GD12100
ORMDL	GD14981
Cpr78E	GD12099
CG11249	GD14986
Als2	GD12097
CG11248	GD27329
CG11247	GD12094
Rpb8	GD14989
CG14570	GD12093
CG14569	GD12092
CG14568	GD12091
CG14573	GD14990
CG14567	GD12090
CG14566	GD12089
CG14572	GD14994
CG14565	GD12088
Syn1	GD12087
CG14564	GD14996
CG7370	GD28251
CG7407	GD15003
CG7414	GD15005
Nopp140	GD17650
P5CDh1	GD17558
SLC22A	GD15009
DNApol-eta	GD12080
CG14562	GD15010
CG7458	GD15012
CG7470	GD15014
CG7140	GD12078
CG14561	GD15018
CG7133	GD12076
CG7130	GD12075
olf413	GD15022
CG11523	GD12072
CG11449	GD17655
laza	GD12067
CG11438	GD15029
CG11437	GD15030
CG11426	GD15031
CG11425	GD15032
CG11404	GD15033
Trxr-2	GD15034
ND-B14.5AL	GD15035
CG14457	GD15043
CG14455	GD12063
CG14456	GD15044
CG11370	GD15047
ArfGAP3	GD12059
CG14451	GD12058
CG14450	GD12057
CG11367	GD27242
CG11241	GD12056
CG7369	GD15050
CG14448	GD15052
CG11226	GD15053
CG13239	GD15054
CG11137	GD12050
CG11109	GD15057
Ssl1	GD15058
slif	GD15059
CG11131	GD15060
BoYb	GD15061
CG12768	GD15062
Mes2	GD15063
CG12581	GD28178
beta-Man	GD19705
CG14636	GD19700
aux	GD19706
CG14641	GD19696
CG14642	GD19695
TwdlF	GD19709
TwdlG	GD19694
TwdlV	GD19711
CG1092	GD19713
CG9766	GD19692
CG9780	GD19690
Vps24	GD19689
Suv3	GD19716
CG9795	GD19717
CG1103	GD19719
Skp2	GD19685
CG1090	GD19720
Sfxn1-3	GD19721
Cont	GD19724
CG14646	GD19727
CG9855	GD19682
CG14647	GD19728
srl	GD19679
eIF3a	GD19678
CG1074	GD19733
CG9804	GD19677
CG14650	GD19734
CG14651	GD19736
Fip1	GD19737
CG9775	GD19666
MED31	GD19742
slx1	GD17776
spartin	GD19745
eIF3f1	GD19663
CG14655	GD19656
CG17387	GD19655
CG1129	GD19749
CG1126	GD19751
CG14657	GD19651
CG14658	GD19649
CG14659	GD19648
CG14661	GD19644
CG1124	GD19757
CG14662	GD15122
plh	GD19642
CG12007	GD19760
CG12590	GD19763
dpr16	GD19765
Prosbeta2R2	GD19639
CG1116	GD19766
CG2604	GD19638
Vps37B	GD19768
Mms19	GD19769
CG1113	GD19770
CG12173	GD19634
Tim17b1	GD19775
CG11999	GD19626
CG1161	GD19778
Cerk	GD19624
CG14667	GD19784
CG14668	GD19622
Or83a	GD29140
CG2663	GD19620
Orco	GD19619
CG12147	GD27832
CG14669	GD19786
PEK	GD19618
RpL35A	GD19617
POLDIP2	GD19787
mRpL44	GD19616
Hcs	GD19789
CG2519	GD19610
Snm1	GD19792
Pi4KIIalpha	GD19607
CG14671	GD19606
CG12746	GD19793
CG2931	GD19605
CG2926	GD19604
rev7	GD19796
CG1427	GD29559
CG2911	GD19598
RpL13A	GD19800
CG12170	GD19804
elm	GD19593
MED27	GD19807
CG2182	GD19592
Atg17	GD19810
Rab23	GD19590
CG2104	GD19589
CG1239	GD19815
CG2100	GD19587
CG1236	GD19816
Sym	GD19586
CG2091	GD19585
jagn	GD19818
kat-60L1	GD19820
Hat1	GD19581
CG1218	GD19822
CG2046	GD19580
CG10979	GD19823
Hpr1	GD19579
CG2023	GD19577
dgrn	GD19827
glob3	GD19828
CG1208	GD19829
CG1213	GD19830
CG14676	GD19831
CG2017	GD19575
CG10280	GD19567
CG15580	GD19564
Or83c	GD19562
Vha14-2	GD19837
CG1077	GD19840
Osi1	GD19841
NPFR	GD19843
Osi24	GD19844
Osi2	GD19845
Osi3	GD19846
Osi4	GD19554
Osi5	GD19847
Osi7	GD27159
Osi8	GD19849
Osi9	GD19850
Osi10	GD19851
Osi11	GD19553
Osi12	GD19852
CG15594	GD19855
Osi13	GD19856
Osi15	GD19858
Osi17	GD19860
Osi18	GD19861
Osi19	GD19862
Osi20	GD19863
CG17917	GD19864
CG10298	GD19865
CG17919	GD19866
CG18048	GD19867
Hr83	GD19868
CG10286	GD19870
godzilla	GD19873
Dmtn	GD19546
CG9727	GD19544
Zif	GD19876
Neurochondrin	GD19877
CG15186	GD19878
CG15185	GD19879
CG1137	GD28476
CG2336	GD19880
CG1138	GD19542
sunz	GD19884
djl	GD28665
CG1988	GD27699
CG1105	GD24566
CG1965	GD19905
Ufl1	GD19511
CG1943	GD19907
Dpck	GD19908
Tailor	GD19509
CG10098	GD19912
CG10068	GD19502
Fer1	GD19915
CG14610	GD19501
CG2656	GD19916
MAGE	GD19499
CG10055	GD19497
CG14609	GD19920
CG14606	GD19494
CG14605	GD19493
thw	GD19922
CG14607	GD19923
CG1234	GD19492
CG10053	GD19924
CG1227	GD19491
CG10050	GD19925
CR10032	GD19927
CG10029	GD19485
CG17944	GD19484
Ir84a	GD19935
wa-cup	GD19937
CG1142	GD19482
Mics1	GD19479
CG2616	GD19943
pyd3	GD19466
CG10919	GD19945
Sp7	GD19946
CG11286	GD19465
CG10086	GD19947
CG2641	GD19948
CG3014	GD19459
CG18268	GD19458
CG2993	GD19457
CG17816	GD19455
ArgRS-m	GD19955
mRpS9	GD19454
EMC1	GD19453
CG10445	GD19449
CD98hc	GD19444
CG2781	GD19443
PIG-H	GD19961
CG2698	GD19962
CG2767	GD19441
CG3223	GD19963
CG10435	GD19439
Pbp95	GD19964
CG2747	GD19437
CG10903	GD19965
CG11035	GD19434
mAChR-B	GD18509
CG7910	GD18511
CG7900	GD18512
CG7878	GD18514
CG9667	GD20890
Gie	GD18515
CG7800	GD18519
CG18249	GD18520
DNApol-iota	GD18521
Ada2b	GD20886
CG9636	GD20885
CG9630	GD20881
CG11671	GD18531
CG11672	GD20880
CG9626	GD20879
mRpL1	GD28099
tex	GD20876
CG11693	GD20875
CG11698	GD18535
CG7483	GD29579
Coq2	GD15120
Or85a	GD15380
CG7443	GD28561
CG9601	GD20873
COX7AL	CoVIIa
DppIII	GD18539
CG7352	GD18540
CG7963	GD18543
CG11737	GD18545
Or85d	GD18548
Cyp313b1	GD20858
SLIRP2	GD18556
CG11753	GD18557
CG8032	GD18558
CG8036	GD18560
mRpL19	GD18561
CG9773	GD20852
CG8043	GD18562
CG11755	GD18563
CG8112	GD18564
Cks85A	GD26806
TMEM216	GD18565
CG11760	GD18566
CG8136	GD18567
nom	GD18568
ouib	GD18569
CG8159	GD18570
ranshi	GD20849
M1BP	GD27719
CG8202	GD18571
CG9801	GD20848
CG8223	GD18572
CG8236	GD18573
CG13318	GD20845
Ir85a	GD18575
CCT7	GD18576
CG9839	GD20838
hng2	GD18578
CG9837	GD20837
CG9821	GD27533
IscU	GD28003
CG8379	GD18579
skap	GD18581
CG11964	GD20833
CG11966	GD29530
CAHbeta	beta-CA
RagA-B	GD20832
CG11975	GD18585
CG11977	GD15146
CG11980	GD18587
CG11982	GD18588
CG11983	GD18589
Kcmf1	GD20827
CG11986	GD18590
hyx	GD18591
Kdm2	GD18594
beag	GD20821
Ada	GD18595
CG11997	GD18596
CG8420	GD18597
St2	GD18598
CG16734	GD18600
CG16736	GD20812
Ibf2	GD20811
Ibf1	GD18601
VhaM8.9	GD18602
sage	GD20810
HP1e	HP1E
CG8861	GD20807
Aduk	GD20804
pasi2	GD18605
CG18473	GD18607
CG8129	GD18609
Or85f	GD18611
CG8132	GD18612
CG9356	GD20800
CG8135	GD18614
Task7	GD20797
GstZ1	GD20796
GstZ2	GD20795
CG16779	GD20794
CG8149	GD26997
JHDM2	GD18620
mura	GD20788
RnpS1	GD18622
CG9386	GD27029
CG8199	GD18623
CG9393	GD20785
CG16789	GD18626
CG16790	GD20784
CG9396	GD20783
CG9399	GD20782
CG8273	GD18627
CG8301	GD18629
P58IPK	GD18630
bocks	GD20779
CG8312	GD18632
CG9427	GD20778
CG8319	GD18633
SpdS	GD18634
CG9492	GD20775
CG8358	GD18636
CG16817	GD18637
CG9444	GD20773
trbd	GD29410
CG12950	GD20766
Pnn	GD26837
CG12948	GD20764
CG16908	GD20763
Rpt3R	GD20762
CG8412	GD18643
CG8417	GD18644
CG8478	GD29472
CG8481	GD18647
CG9471	GD20759
Whamy	GD20758
topi	GD18648
CG12947	GD18650
CG8500	GD28226
CG12945	GD20760
CG8507	GD18645
CG8516	GD18646
CG9467	GD29187
CG8526	GD18651
FBXO11	GD20755
CG8534	GD18652
eloF	GD18654
CG16904	GD20753
CG9459	GD20752
CG9458	GD20751
Teh1	GD20749
Art4	GD20747
Spn85F	GD18658
CG5359	GD20745
CG11722	GD20741
mtTFB2	GD18660
CG12811	GD20740
ohgt	GD18661
Fancl	GD20739
Npc2d	GD20738
Npc2c	GD18663
CG5361	GD20736
CG3940	GD18670
TAF1B	GD20731
CG6254	GD20730
CG12814	GD20728
CG12420	GD18675
CG12817	GD27192
CG3999	GD18680
Sirt6	GD20725
CG6293	GD20724
CG12818	GD18685
CG18545	GD18688
CG6325	GD20722
Rrp46	GD18693
CG6345	GD20720
Cyp12e1	GD18694
CG6465	GD20716
CG14688	GD29352
CG14683	GD29092
CG14684	GD18703
CG14689	GD20711
CG4073	GD18704
tomboy20	GD20710
CG14691	GD20708
Cap-H2	GD18705
Desi	GD18707
Art1	GD20702
CG14687	GD18710
CG14692	GD20700
CG14693	GD20699
CG4089	GD18711
CG4565	GD18718
CG6567	GD20698
CG4511	GD18719
CG4570	GD18720
CG14694	GD20697
CG6574	GD20696
Tsp86D	GD18721
CG4596	GD18722
CG14695	GD20693
Tpc1	GD20692
CG14696	GD20691
CG6621	GD20689
Leash	GD18724
Tengl4	GD18726
CG6629	GD20687
CG4706	GD18730
CG18577	GD18735
SdhC	GD20679
ZnT86D	GD20678
CG4820	GD18738
CG6689	GD20676
CG6693	GD20675
GCC88	GD18743
CG17187	GD18742
CG14701	GD20671
Arfip	GD18741
CG17721	GD20672
CG5214	GD18745
mRpL40	GD18750
Ranbp9	GD18752
CG6723	GD20661
ninaG	GD26867
CG5270	GD18753
CG18643	GD18754
RpL24-like	GD20660
CG5276	GD18755
CG6744	GD20659
CG5281	GD18756
PGRP-LB	GD15111
dpr5	GD18758
CG10898	GD18763
sea	GD20656
fabp	GD20655
CG6790	GD26910
CG5342	GD27781
wkd	GD18765
CG6791	GD20654
CG14710	GD18767
CG6808	GD20652
CG14711	GD18768
CG6813	GD20651
CG14712	GD18770
Elp1	GD19447
CG14715	GD18774
CG18476	GD20647
Ho	GD18775
CG6908	GD20643
Fer3	GD20641
CG14718	GD18777
CG14720	GD18779
CG12594	GD18781
CG14721	GD18782
CG14722	GD18783
CG6923	GD28866
CG17360	GD20635
HisCl1	GD18784
CG6950	GD20629
CG6959	GD20628
CG6962	GD20627
mthl5	GD20625
CG6971	GD20624
Cad87A	GD20623
GC2	GD28871
CG10005	GD20617
CG18547	GD20616
Tk	GD20612
KLHL18	GD20611
GCC185	GD18796
DCAF12	GD20610
Spt3	GD18797
ssp5	GD18799
CG14736	GD18800
CG14739	GD20607
CG14740	GD20606
ATP8B	GD20604
CG4702	GD20603
dpr15	GD20600
eIF3d2	GD20597
CG3809	GD18802
CG4830	GD20595
Cog1	GD20593
CG4860	GD20592
CG10014	GD18804
CG17404	GD20591
CG12256	GD20590
CG3916	GD18805
CG3942	GD18806
CG17738	GD18807
CG4066	GD18811
CG10013	GD28631
CG10038	GD20584
CG10041	GD20582
MBD-R2	GD20581
CG4115	GD18814
CG10035	GD20576
GstD11	GD18822
CG10096	GD20574
CG10097	GD20573
lig3	GD20571
Cyp9f2	GD20572
CG5167	GD18827
CG5196	GD18828
Scgbeta	GD20569
CG17202	GD18831
NANS	GD18832
CG5641	GD20566
CG5844	GD18835
CG17207	GD20563
CG5538	GD18838
CG18549	GD18839
CG5509	GD27558
trus	trus
CG5961	GD20562
CG12267	GD18841
CG5608	GD20561
Octbeta2R	GD20557
Snx3	GD18845
CG6753	GD20554
Dtg	GD18852
CG6225	GD28901
CG14395	GD18853
Gnmt	GD18854
Cyp313a4	GD20551
CG14391	GD20547
NijC	GD18856
CG12279	GD18858
beat-Vc	GD20542
beat-Va	GD20538
CG10126	GD20537
d-cup	GD18861
CG10909	GD20534
beat-Vb	GD18862
Cyp304a1	GD18865
CG14384	GD20532
CG7381	GD20531
CG7091	GD18866
Paip2	GD18867
CG14383	GD20530
yellow-f2	GD20528
CG7488	GD18869
CG17327	GD27523
CG11656	GD18872
CG8031	GD20526
CG11668	GD18876
CG11670	GD18877
CG7966	GD20522
timeout	GD18885
CG8138	GD18886
CG8508	GD20519
CG14380	GD18888
CG8141	GD18889
CG8483	GD20518
CG8476	GD20517
Ravus	GD20514
TBC1D5	GD20513
CG8630	GD18893
CG15888	GD20511
CG15887	GD20510
Osi22	GD18894
wntD	GD20509
CG8773	GD18895
PK2-R2	GD20508
PK2-R1	GD18898
CheA87a	GD18903
CG9813	GD20505
CG8870	GD18905
Droj2	GD18906
CG9799	GD20503
CCHa2	GD20502
GILT1	GD20500
yellow-e3	GD20499
yellow-e2	GD20498
Ir87a	GD18908
CG14372	GD18910
CG12538	GD20492
CG14370	GD27113
CG14369	GD26005
CG9759	GD20489
CG9269	GD18914
CG10841	GD18915
Task6	GD20483
CG9588	GD20482
